state,city,county,zip_code,longitud,latitude
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,VILLAR DE CHINCHILLA,02695,"-1,502806","38,898306"
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,VILLAR DE CHINCHILLA,02695,"-1,583694","38,921583"
ALBACETE,ELCHE DE LA SIERRA,ELCHE DE LA SIERRA,02430,"-2,044778","38,451306"
ALBACETE,FUENTE-ÁLAMO,FUENTE-ALAMO,02651,"-1,433306","38,689833"
ALBACETE,FUENTEALBILLA,FUENTEALBILLA,02260,"-1,548639","39,269972"
ALBACETE,GINETA (LA),GINETA (LA),02110,"-1,990194","39,107667"
ALBACETE,GINETA (LA),GINETA (LA),02110,"-1,963944","39,086278"
ALBACETE,GOLOSALVO,GOLOSALVO,02253,"-1,635111","39,238111"
ALBACETE,HELLÍN,HELLIN,02400,"-1,571667","38,417306"
ALBACETE,HELLÍN,HELLIN,02400,"-1,714556","38,502889"
ALBACETE,HELLÍN,HELLIN,02400,"-1,687833","38,506806"
ALBACETE,HELLÍN,HELLIN,02400,"-1,703056","38,524444"
ALBACETE,HELLÍN,ISSO,02420,"-1,741111","38,491861"
ALBACETE,HELLÍN,HELLIN,02400,"-1,696972","38,511222"
ALBACETE,HELLÍN,HELLIN,02400,"-1,708944","38,526528"
ALBACETE,HELLÍN,HELLIN,02400,"-1,636389","38,495972"
ALBACETE,HELLÍN,HELLIN,02400,"-1,706972","38,528306"
ALBACETE,HELLÍN,HELLIN,02400,"-1,705389","38,545111"
ALBACETE,HELLÍN,HELLIN,02400,"-1,694889","38,532389"
ALBACETE,HELLÍN,HELLIN,02400,"-1,596722","38,464250"
ALBACETE,HOYA-GONZALO,HOYA-GONZALO,02696,"-1,583389","38,921833"
ALBACETE,LETUR,LETUR,02434,"-2,111056","38,356556"
ALBACETE,LEZUZA,LEZUZA,02160,"-2,354861","38,948472"
ALBACETE,MADRIGUERAS,MADRIGUERAS,02230,"-1,800611","39,226611"
ALBACETE,MADRIGUERAS,MADRIGUERAS,02230,"-1,799472","39,233056"
ALBACETE,MINAYA,MINAYA,02620,"-2,330333","39,276056"
ALBACETE,MONTEALEGRE DEL CASTILLO,MONTEALEGRE DEL CASTILLO,02650,"-1,316750","38,797250"
ALBACETE,MONTEALEGRE DEL CASTILLO,MONTEALEGRE DEL CASTILLO,02650,"-1,330250","38,785917"
ALBACETE,MUNERA,MUNERA,02612,"-2,485028","39,043806"
ALBACETE,NERPIO,NERPIO,02530,"-2,293444","38,151167"
ALBACETE,ONTUR,ONTUR,02652,"-1,497667","38,622944"
ALBACETE,ONTUR,ONTUR,02652,"-1,508329","38,609542"
ALBACETE,OSSA DE MONTIEL,OSSA DE MONTIEL,02611,"-2,751500","38,967167"
ALBACETE,POZO CAÑADA,POZO CAÑADA,02099,"-1,736389","38,805278"
ALBACETE,POZOHONDO,POZOHONDO,02141,"-1,910750","38,717556"
ALBACETE,POZO-LORENTE,POZO-LORENTE,02154,"-1,512611","39,081278"
ALBACETE,POZUELO,POZUELO,02327,"-2,098778","38,804722"
ALBACETE,RIÓPAR,RIOPAR,02450,"-2,411444","38,493528"
ALBACETE,ROBLEDO,ROBLEDO,02340,"-2,450028","38,771194"
ALBACETE,RODA (LA),RODA (LA),02630,"-2,171778","39,212861"
ALBACETE,RODA (LA),RODA (LA),02630,"-2,171028","39,212361"
ALBACETE,RODA (LA),RODA (LA),02630,"-2,166444","39,212972"
ALBACETE,RODA (LA),RODA (LA),02630,"-2,149000","39,201667"
ALBACETE,RODA (LA),RODA (LA),02630,"-2,156667","39,213722"
ALBACETE,RODA (LA),RODA (LA),02630,"-2,186083","39,225000"
ALBACETE,RODA (LA),RODA (LA),02630,"-2,051250","39,143972"
ALBACETE,RODA (LA),RODA (LA),02630,"-2,158028","39,218389"
ALBACETE,SOCOVOS,SOCOVOS,02435,"-1,981861","38,331361"
ALBACETE,TARAZONA DE LA MANCHA,TARAZONA DE LA MANCHA,02100,"-1,912194","39,256194"
ALBACETE,TARAZONA DE LA MANCHA,TARAZONA DE LA MANCHA,02100,"-1,911389","39,259750"
ALBACETE,TOBARRA,TOBARRA,02500,"-1,694083","38,603306"
ALBACETE,TOBARRA,TOBARRA,02500,"-1,680833","38,601722"
ALBACETE,TOBARRA,TOBARRA,02500,"-1,680917","38,602278"
ALBACETE,TOBARRA,TOBARRA,02500,"-1,685417","38,594639"
ALBACETE,VALDEGANGA,VALDEGANGA,02150,"-1,679528","39,131944"
ALBACETE,VILLALGORDO DEL JÚCAR,VILLALGORDO DEL JUCAR,02636,"-2,067639","39,302389"
ALBACETE,VILLAMALEA,VILLAMALEA,02270,"-1,592778","39,366861"
ALBACETE,VILLAPALACIOS,VILLAPALACIOS,02350,"-2,626222","38,581722"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,713722","39,198000"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,591722","39,277056"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,590028","39,276944"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,708528","39,205194"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,602028","39,278222"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,617083","39,272250"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,586778","39,258778"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,599417","39,261472"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,567139","39,293722"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,613778","39,257528"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,579639","39,285722"
ALBACETE,VILLARROBLEDO,VILLARROBLEDO,02600,"-2,594111","39,272056"
ALBACETE,YESTE,YESTE,02480,"-2,302250","38,368278"
ALBACETE,YESTE,YESTE,02480,"-2,314667","38,368667"
ALICANTE,AGOST,AGOST,03698,"-0,662250","38,429417"
ALICANTE,AGOST,AGOST,03698,"-0,637250","38,434417"
ALICANTE,AGOST,AGOST,03698,"-0,599444","38,408861"
ALICANTE,AGOST,AGOST,03698,"-0,599972","38,406528"
ALICANTE,ALBATERA,ALBATERA,03340,"-0,848833","38,199389"
ALICANTE,ALBATERA,ALBATERA,03340,"-0,854056","38,175028"
ALICANTE,ALBATERA,ALBATERA,03340,"-0,894750","38,165222"
ALICANTE,ALBATERA,ALBATERA,03340,"-0,848722","38,199417"
ALICANTE,ALCOY/ALCOI,ALCOY/ALCOI,03801,"-0,479694","38,689083"
ALICANTE,ALCOY/ALCOI,ALCOY/ALCOI,03800,"-0,462528","38,714361"
ALICANTE,ALCOY/ALCOI,ALCOY/ALCOI,03800,"-0,472556","38,708750"
ALICANTE,ALCOY/ALCOI,ALCOY/ALCOI,03800,"-0,489611","38,691889"
ALICANTE,ALCOY/ALCOI,ALCOY/ALCOI,03801,"-0,479611","38,688639"
ALICANTE,ALCOY/ALCOI,ALCOY/ALCOI,03800,"-0,477972","38,695083"
ALICANTE,ALCOY/ALCOI,ALCOY/ALCOI,03800,"-0,471306","38,683389"
ALICANTE,ALFÀS DEL PI (L'),ALFAS DEL PI (L'),03581,"-0,082972","38,567722"
ALICANTE,ALFÀS DEL PI (L'),ALFAS DEL PI (L'),03580,"-0,105389","38,581361"
ALICANTE,ALGORFA,ALGORFA,03169,"-0,746611","38,058389"
ALICANTE,ALGUEÑA,ALGUEÑA,03668,"-0,998222","38,339222"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03008,"-0,521389","38,303611"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03011,"-0,499722","38,376944"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03016,"-0,446667","38,370000"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03016,"-0,453806","38,375472"
ALICANTE,ALICANTE/ALACANT,SANTA FAZ,03559,"-0,449972","38,385639"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03007,"-0,518333","38,344917"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03112,"-0,489750","38,383583"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03006,"-0,555389","38,348250"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03114,"-0,566472","38,338278"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03007,"-0,523139","38,337778"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03007,"-0,520556","38,345250"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03015,"-0,466806","38,370694"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03008,"-0,512472","38,335861"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03008,"-0,513500","38,330583"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03007,"-0,516000","38,338611"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03008,"-0,500389","38,337778"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03540,"-0,434556","38,363639"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03014,"-0,486944","38,375111"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03013,"-0,466972","38,359278"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03013,"-0,467361","38,359667"
ALICANTE,ALICANTE/ALACANT,FONT-CALENT,03113,"-0,607083","38,342361"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03006,"-0,517889","38,345583"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03009,"-0,506833","38,374139"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03007,"-0,517750","38,340028"
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03006,"-0,522278","38,345056"
